Profilo_Template,Conteggio_File,Esempi_File (primi 10)
"head:1, body:1, header:0, footer:0, aside:0, breadcrumb:0",863,"project-roi.html, euler-s-totient-function-calculator.html, rock-paper-scissors-simulator.html, land-transfer-tax.html, australian-tax-brackets-and-rates-for-residents-2025-26-medicare-levy-and-surcharge-low-income-tax-offset-calculating-your-tax-payable-faqs.html, stock.html, reverse-sales-tax.html, finance-mortgages-and-home.html, hawaii-income-tax.html, california-income-tax.html"
"head:1, body:1, header:1, footer:1, aside:1, breadcrumb:1",516,"mm-to-inches.html, stopwatch-calculator.html, typography-converter.html, function-calculator.html, carb-calculator.html, dog-calorie.html, sip-calculator.html, rgb-converter.html, elapsed-time-calculator.html, german-pension.html"
"head:1, body:1, header:1, footer:0, aside:0, breadcrumb:0",193,"wind-turbine-foundation.html, rafter.html, azimuth-bearing-converter.html, eurocode-3-beam-design.html, taylor-series.html, tennessee-income-tax.html, kruskal-wallis-test.html, international-fisher-effect.html, manning-s-equation-calculator.html, overtime.html"
"head:1, body:1, header:1, footer:1, aside:0, breadcrumb:0",146,"growth-chart.html, missouri-local-earnings-tax.html, eurocode-7-sliding-resistance.html, what-is-the-medicare-levy-surcharge-calculating-the-surcharge-for-high-income-earners-without-private-health-insurance-income-thresholds-faqs.html, irrigation.html, cocomo.html, eurocode-1-imposed-loads.html, oregon-local-income-tax.html, bandwidth-calculator.html, meeting-planner-time-zone.html"
"head:1, body:1, header:0, footer:0, aside:1, breadcrumb:0",127,"t-test.html, gravel.html, confidence-interval.html, dead-load.html, egc-sizing.html, sustainable-growth-rate.html, self-directed-ira-real-estate.html, long-division.html, added-sugar.html, depreciation.html"
"head:1, body:1, header:0, footer:1, aside:0, breadcrumb:0",52,"rad-to-gray.html, kendalls-tau.html, inverse-kinematics.html, container-loading.html, beaufort-scale.html, bacterial-growth-curve.html, credit-card-processing-fee.html, what-is-gratuity-calculating-the-gratuity-amount-payable-to-an-employee-based-on-last-drawn-salary-and-years-of-service-for-employees-covered-under-the-gratuity-act-faqs.html, mohrs-circle.html, inheritance-tax.html"
"head:1, body:1, header:1, footer:1, aside:0, breadcrumb:1",48,"cooking-calculator.html, kg-to-lbs.html, payroll-take-home-pay.html, pottery-calculator.html, cm-to-inches.html, lbs-to-kg.html, trapezoid-calculator.html, surface-area-calculator.html, conic-classifier.html, parabola-calculator.html"
"head:1, body:1, header:2, footer:1, aside:1, breadcrumb:1",42,"btu-to-kwh.html, barrels-to-gallons.html, health-fitness.html, kwh-to-btu.html, materials-estimation.html, finance.html, joules-to-btu.html, math-conversions.html, construction-diy.html, lifestyle-everyday.html"
"head:1, body:1, header:1, footer:0, aside:1, breadcrumb:0",32,"gcf.html, prime-factorization.html, factor-of-safety.html, eurocode-1-wind-load.html, heat-transfer.html, kansas-income-tax.html, wood-bolt-design.html, aggregate-gradation.html, fat-intake.html, gift-tax.html"
"head:1, body:1, header:1, footer:1, aside:1, breadcrumb:0",19,"washington-income-tax.html, what-is-fringe-benefits-tax-calculating-fbt-on-a-company-car-using-the-statutory-formula-or-operating-cost-method-fbt-rates-and-thresholds-faqs.html, square-calculator.html, algebra-calculator.html, privacy.html, student-loan-calculator.html, search.html, seach.html, calorie-to-btu.html, btu-to-calories.html"
"head:1, body:1, header:0, footer:0, aside:0, breadcrumb:1",5,"concrete-beam-design.html, nec-ampacity.html, short-circuit-current.html, ohm-s-law-calculator.html, vat-uk.html"
"head:1, body:1, header:2, footer:1, aside:0, breadcrumb:1",5,"construction.html, engineering.html, subcategories/structural-engineering.html, subcategories/mechanical-engineering.html, subcategories/electrical.html"
"head:1, body:1, header:1, footer:0, aside:0, breadcrumb:1",4,"mulch-calculator.html, concrete-slab.html, dna-concentration.html, sand-calculator.html"
"head:1, body:1, header:0, footer:0, aside:1, breadcrumb:1",3,"amps-to-watts.html, asce-7-22-tornado-load.html, scale-conversion.html"
"head:0, body:0, header:0, footer:0, aside:0, breadcrumb:0",3,"block-calculator.html, test-search.html, trim-calculator.html"
"head:1, body:1, header:0, footer:1, aside:1, breadcrumb:0",2,"party-drink.html, 401k-vs-roth-401k.html"
"head:0, body:1, header:0, footer:0, aside:0, breadcrumb:0",2,"template-home.html, googlec8c0eedfe44345b9.html"
"head:1, body:0, header:0, footer:0, aside:0, breadcrumb:0",2,"conversions-length-and-distance.html, trading-tools.html"
"head:1, body:1, header:1, footer:2, aside:1, breadcrumb:1",1,quarterly-tax-calculator.html
"head:1, body:1, header:1, footer:1, aside:3, breadcrumb:1",1,coordinate-calccalculator.html
"head:1, body:2, header:2, footer:2, aside:2, breadcrumb:1",1,date-difference-calculator.html
"head:1, body:1, header:2, footer:1, aside:0, breadcrumb:0",1,strike-water-temperature.html
"head:1, body:1, header:2, footer:2, aside:2, breadcrumb:1",1,bsa-calculator.html
"head:1, body:1, header:1, footer:1, aside:2, breadcrumb:1",1,mortgage-refinance.html
